,Velocity,Braking,Acceleration_with_pitch_comp,Acceleration_measured,Pitch degrees,kk,ii,jj,hh,dd,aa,bb,cc
0,4.851500034332275,0.0,0.06794598011907116,3.149699847,18.32850006483495,485,233,27,3,140,173,15,0
1,4.35421055241635,0.0,0.041332963713265336,3.1122874772499998,18.26200008019805,485,233,27,3,140,173,15,0
2,4.242105283235249,0.0,-0.2280446233789184,2.8799189055,18.489999862760307,485,233,27,3,140,173,15,0
3,4.47700002193451,0.0,0.3573067868382087,3.2719887725,17.302499763295053,485,233,27,3,140,173,15,0
4,4.238000011444091,0.0,-0.18564029872606147,2.8881564914999998,18.27949970625341,485,233,27,3,140,173,15,0
5,3.9889999985694886,0.0,-0.3166136739609877,2.6068037029999998,17.355999725311996,485,233,27,3,140,173,15,0
6,3.5568421137960335,0.0,-0.486093693814984,2.6057249715,18.3904998511076,485,233,27,3,140,173,15,0
7,3.4478947363401713,0.0,-0.03772939994145119,2.7857750654999998,16.7449998434633,485,233,27,3,140,173,15,0
8,3.6210000038146974,0.0,-0.44614345030376956,2.57547145625,17.958499976992606,485,233,27,3,140,173,15,0
9,3.393500006198883,0.0,-0.07088355577260108,2.775870349,16.88700001928955,485,233,27,3,140,173,15,0
10,3.1669999957084656,0.0,0.13958683430309415,2.75728674725,15.492500068806113,485,233,27,3,140,173,15,0
11,2.7984210440987036,0.0,0.20017701592663162,2.7434593707499997,15.041499950550497,485,233,27,3,140,173,15,0
12,2.695263147354126,0.0,0.5344815128617508,2.9174293417499997,14.072999904863536,485,233,27,3,140,173,15,0
13,2.8089999914169312,0.0,0.7854437408417003,3.3012125895,14.874999965913593,485,233,27,3,140,173,15,0
14,2.592999982833862,0.0,0.7729187594735163,3.06001803275,13.495999870635568,485,233,27,3,140,173,15,0
15,2.3829999923706056,0.0,0.20802485980841023,2.82720816175,15.501499908789992,485,233,27,3,140,173,15,0
16,2.1010526230460718,0.0,0.3592907247056205,2.76777986275,14.226999927684664,485,233,27,3,140,173,15,0
17,2.002631570163526,0.0,-0.19277435636261897,2.54938576725,16.248999973386525,485,233,27,3,140,173,15,0
18,2.0654999911785126,0.0,-0.1026305102200924,2.475982992,15.255500034242868,485,233,27,3,140,173,15,0
19,1.8649999856948853,0.0,-0.6328618340216563,2.0659179222499997,15.985000045597554,485,233,27,3,140,173,15,0
20,1.6163157789330733,0.0,-0.14283827786677206,2.37012020525,14.858000091463328,485,233,27,3,140,173,15,0
21,1.4949999928474427,0.0,-0.01274122227626906,2.31932175825,13.766500080004334,485,233,27,3,140,173,15,0
22,0.6609999984502792,15.025000405311584,0.008394523093799566,0.46841463725,2.6905000071972607,485,233,27,3,140,173,15,0
23,2.1979999899864198,0.25999999046325684,-0.011651610736401974,1.123057558,6.648999876901508,485,233,27,3,140,173,15,0
24,4.455789490749962,0.0,0.2910747148022641,-1.57028983125,-10.949000105261803,485,233,27,3,140,173,15,0
25,4.334736849132337,0.0,-0.28458032103553954,-2.3067202129999997,-11.907999782636761,485,233,27,3,140,173,15,0
26,3.9300000291121635,0.0,0.011684318219310263,-2.27009237525,-13.463999805599451,485,233,27,3,140,173,15,0
27,3.735789499784771,0.0,-0.15199395032952823,-2.03728250425,-11.09149978645146,485,233,27,3,140,173,15,0
28,3.642500030994415,0.0,-0.2802083251881249,-2.20693754925,-11.338499834015966,485,233,27,3,140,173,15,0
29,3.728500020503998,0.0,-0.3473076923972438,-2.1545700382499997,-10.626999856904149,485,233,27,3,140,173,15,0
30,3.64263159350345,0.0,-0.4797369976117234,-2.094504307,-9.483999877795577,485,233,27,3,140,173,15,0
31,3.2873684356087134,0.0,-0.49390864869233253,-2.0584648682499997,-9.186499946564435,485,233,27,3,140,173,15,0
32,3.1168421067689596,0.0,-0.4903105580192584,-2.06415272525,-9.241499973088503,485,233,27,3,140,173,15,0
33,3.047000014781952,0.0,-0.5024713777550596,-1.9378921064999999,-8.422499959915877,485,233,27,3,140,173,15,0
34,2.8920000195503235,0.0,-0.3934866565476931,-1.80309970225,-8.269999950379134,485,233,27,3,140,173,15,0
35,2.590526317295275,0.0,-0.14564172420099708,-1.679290746,-9.00349993892014,485,233,27,3,140,173,15,0
36,2.5278947353363037,0.0,-0.03998684349562165,-1.7129275554999999,-9.828999931365251,485,233,27,3,140,173,15,0
37,2.6745000004768373,0.0,-0.04531049792721742,-1.583773975,-9.031999956071378,485,233,27,3,140,173,15,0
38,2.547000002861023,0.0,-0.04836633167599347,-1.5707801637499998,-8.936999975144863,485,233,27,3,140,173,15,0
39,4.341000008583069,0.0,0.06660367232320485,-2.1912959425,-13.320500078052282,485,233,27,3,140,173,15,0
40,4.192000007629394,0.0,0.3101871926974642,-2.2499397095,-15.143500064685941,485,233,27,3,140,173,15,0
